,Democrats_12(Votes),Republicans_12(Votes),Democrats_16(Votes),Republicans_16(Votes),Fips
3074,3358.0,2021.0,2874.0,2055.0,51183
3075,8478.0,6463.0,8395.0,5934.0,51683
3076,7117.0,4306.0,5181.0,5158.0,50019
3077,1540.0,3171.0,1118.0,2740.0,53001
3078,8950.0,17852.0,7768.0,18482.0,53025
3079,1673.0,4063.0,1238.0,4095.0,53043
3080,5399.0,2820.0,4136.0,3428.0,55003
3081,17470.0,21327.0,14614.0,21308.0,13185
3082,5086.0,5070.0,4773.0,5283.0,8015
3083,4542.0,7401.0,3920.0,7771.0,8083
3084,12999.0,47481.0,16153.0,51681.0,13139
3085,1958.0,8926.0,1955.0,10465.0,13123
3086,35190.0,78513.0,43037.0,88633.0,12109
3087,1141.0,2538.0,890.0,2711.0,13155
3088,51698.0,96520.0,60941.0,105297.0,12021
3089,2463.0,4696.0,2147.0,5238.0,12049
3090,2335.0,6804.0,2191.0,7451.0,20149
3091,3809.0,4738.0,2489.0,6367.0,18149
3092,8977.0,11507.0,8892.0,9817.0,20161
3093,1356.0,3749.0,1108.0,4236.0,21065
3094,398.0,1878.0,277.0,1808.0,20137
3095,11535.0,11345.0,10717.0,11819.0,21073
3096,4271.0,9824.0,3362.0,11051.0,18107
3097,2979.0,3426.0,2081.0,4511.0,18165
3098,190.0,1223.0,160.0,1209.0,20153
3099,4484.0,8135.0,2894.0,9565.0,54051
3100,,,,,2240
3101,,,,,2290
3102,,,,,2282
3103,,,,,2164
3104,1241.0,8847.0,1444.0,9880.0,13085
3105,2436.0,2856.0,1332.0,3799.0,39163
3106,5292.0,8920.0,4170.0,10314.0,51155
3107,18580.0,18437.0,15154.0,15685.0,53009
3108,5542.0,4644.0,3780.0,5983.0,55001
3109,22552.0,29006.0,18706.0,28848.0,55127
3110,6786.0,10768.0,5452.0,11077.0,54069
3111,947.0,1710.0,554.0,2284.0,54101
3112,,,,,2070
3113,,,,,2105
3114,,,,,2122
3115,,,,,51515
3116,3674.0,4281.0,2761.0,5179.0,36097
3117,153041.0,111001.0,129922.0,109531.0,39153
3118,11651.0,17284.0,7841.0,19901.0,39167
3119,1864.0,7426.0,1726.0,8159.0,48019
3120,751.0,4378.0,568.0,4858.0,48059
3121,3843.0,18409.0,4001.0,21367.0,48221
3122,998.0,3058.0,770.0,3040.0,48279
3123,1668.0,5910.0,1243.0,6601.0,48457
3124,398.0,1311.0,420.0,1403.0,48495
3125,4994.0,2968.0,4473.0,3045.0,51025
3126,27290.0,48427.0,28153.0,54082.0,37101
3127,2352.0,2837.0,2041.0,2941.0,37103
3128,1343.0,1009.0,836.0,1209.0,38073
3129,29.0,268.0,30.0,273.0,31009
3130,4367.0,7556.0,3461.0,8388.0,31025
3131,149.0,769.0,121.0,819.0,31071
3132,880.0,3400.0,571.0,3832.0,31137
3133,74013.0,59456.0,66355.0,66949.0,34015
3134,41970.0,37641.0,35212.0,38077.0,36007
3135,302695.0,259308.0,307326.0,275479.0,36059
3136,62388.0,105176.0,56700.0,104441.0,39017
3137,7062.0,13633.0,4537.0,15586.0,39091
3138,81464.0,59405.0,64958.0,65346.0,39093
3139,6144.0,8162.0,5455.0,9992.0,40021
3140,115.0,1082.0,70.0,962.0,40025
